ID,Title,Year,Rating,TMDb URL,Image URL
a1,Running Man,"Jul 11, 2010",83,https://www.themoviedb.org/tv/33238,https://media.themoviedb.org/t/p/w220_and_h330_face/2Wmmu1MkqxJ48J7aySET9EKEjXz.jpg
a2,TMZ,"Sep 10, 2007",44,https://www.themoviedb.org/tv/13008-tmz-on-tv,https://media.themoviedb.org/t/p/w220_and_h330_face/ifFpUG51DJaQxwnZ35VwoGRFGGv.jpg
a3,Tomorrow Is Ours,"Jul 17, 2017",62,https://www.themoviedb.org/tv/72879-demain-nous-appartient,https://media.themoviedb.org/t/p/w220_and_h330_face/zMWldNZF0wS3L5XkDVFHxYhclcL.jpg
a4,Love Island: All Stars,"Jan 15, 2024",37,https://www.themoviedb.org/tv/243754-love-island-all-stars,https://media.themoviedb.org/t/p/w220_and_h330_face/hOHKevqnalNfhtVwTL8RqVKzQHC.jpg
a5,Perfect Match,"Jan 25, 2025",78,https://www.themoviedb.org/tv/254821,https://media.themoviedb.org/t/p/w220_and_h330_face/nQrLPR8tjWW7qiL76JTfwmQnB7w.jpg
a6,Las Hijas de la Señora Garcia,"Nov 11, 2024",73,https://www.themoviedb.org/tv/276277-las-hijas-de-la-senora-garcia,https://media.themoviedb.org/t/p/w220_and_h330_face/c75tX49ZsDfyiYih6A0sc5M4zzP.jpg
a7,The First Years,"May 26, 2014",48,https://www.themoviedb.org/tv/82708-brugklas,https://media.themoviedb.org/t/p/w220_and_h330_face/klPqN1oITjVub0Yss0Kqnx8NfY3.jpg
a8,Ici tout commence,"Nov 02, 2020",69,https://www.themoviedb.org/tv/112470-ici-tout-commence,https://media.themoviedb.org/t/p/w220_and_h330_face/v7nXPo2zdaIOfeIaERiOuTEt89N.jpg
a9,Law of the Jungle,"Oct 21, 2011",47,https://www.themoviedb.org/tv/52910,https://media.themoviedb.org/t/p/w220_and_h330_face/zgMOq3H27nYikqjykeXCIIFRbjK.jpg
a10,Infinite Challenge,"Apr 23, 2005",76,https://www.themoviedb.org/tv/5092,https://media.themoviedb.org/t/p/w220_and_h330_face/3ZIPTvMnzI5ThmdGeEYQFxJV5Sg.jpg
a11,You Hee-yeol's Sketchbook,"Apr 24, 2009",68,https://www.themoviedb.org/tv/39429,https://media.themoviedb.org/t/p/w220_and_h330_face/5zsoaVX483aJG90rJhlAup1VAXI.jpg
a12,EastEnders,"Feb 19, 1985",41,https://www.themoviedb.org/tv/1871-eastenders,https://media.themoviedb.org/t/p/w220_and_h330_face/z4jgyI5TpoRZiJTNchkVkMrGQyz.jpg
a13,Squid Game,"Sep 17, 2021",79,https://www.themoviedb.org/tv/93405,https://media.themoviedb.org/t/p/w220_and_h330_face/1QdXdRYfktUSONkl1oD5gc6Be0s.jpg
a14,America Says,"Jun 18, 2018",44,https://www.themoviedb.org/tv/89491-america-says,https://media.themoviedb.org/t/p/w220_and_h330_face/cNZTNrWxc02moLzn3NYZqowyJdU.jpg
a15,Weekly Idol,"Jul 23, 2011",62,https://www.themoviedb.org/tv/52823,https://media.themoviedb.org/t/p/w220_and_h330_face/uZP58JwdBzCwPBh9h3ZbGsVKMAQ.jpg
a16,The Daily Show,"Jul 22, 1996",64,https://www.themoviedb.org/tv/2224-the-daily-show,https://media.themoviedb.org/t/p/w220_and_h330_face/ixcfyK7it6FjRM36Te4OdblAq4X.jpg
a17,Law & Order: Special Victims Unit,"Sep 20, 1999",79,https://www.themoviedb.org/tv/2734-law-order-special-victims-unit,https://media.themoviedb.org/t/p/w220_and_h330_face/abWOCrIo7bbAORxcQyOFNJdnnmR.jpg
a18,The Return of Superman,"Nov 03, 2013",75,https://www.themoviedb.org/tv/64356,https://media.themoviedb.org/t/p/w220_and_h330_face/qjBx2RCnyyBPgu9qBV7j3UiXjeo.jpg
a19,Solo Leveling,"Jan 07, 2024",85,https://www.themoviedb.org/tv/127532,https://media.themoviedb.org/t/p/w220_and_h330_face/geCRueV3ElhRTr0xtJuEWJt6dJ1.jpg
a20,Beyblade Burst,"Apr 04, 2016",83,https://www.themoviedb.org/tv/67667,https://media.themoviedb.org/t/p/w220_and_h330_face/fG7BHxDlntPyB57UuNo9sXmAmLV.jpg
a21,Grey's Anatomy,"Mar 27, 2005",82,https://www.themoviedb.org/tv/1416-grey-s-anatomy,https://media.themoviedb.org/t/p/w220_and_h330_face/7jEVqXC14bhfAzSPgr896dMdDv6.jpg
a22,The Rookie,"Oct 16, 2018",85,https://www.themoviedb.org/tv/79744-the-rookie,https://media.themoviedb.org/t/p/w220_and_h330_face/bL1mwXDnH5fCxqc4S2n40hoVyoe.jpg
a23,Duel Masters,"Oct 21, 2002",58,https://www.themoviedb.org/tv/46392,https://media.themoviedb.org/t/p/w220_and_h330_face/t5ijeKzOukACRktUfbjuMIlqwfr.jpg
a24,Conan,"Nov 08, 2010",70,https://www.themoviedb.org/tv/32415-conan,https://media.themoviedb.org/t/p/w220_and_h330_face/oQxrvUhP3ycwnlxIrIMQ9Z3kleq.jpg
