ID,Title,Year,Rating,Genre,Description,IMDb URL,Image URL
b1,1. Paradise,2025–,7.9,TV Series,A Secret Service agent investigates the murder of a former president in a seemingly peaceful community.,https://www.imdb.com/title/tt27444205/?ref_=sr_t_1,"https://m.media-amazon.com/images/M/MV5BODU0MGE1NzMtYzFiNS00OWY1LThmYTUtZDE5NDIwZDNmMWRlXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
b2,2. The Night Agent,2023–,7.5,TV Series,"Low-level FBI agent Peter Sutherland works in the basement of the White House manning a phone that never rings - until the night it does, propelling him into a conspiracy that leads all the way to the Oval Office.",https://www.imdb.com/title/tt13918776/?ref_=sr_t_2,"https://m.media-amazon.com/images/M/MV5BYjVmZWZkMTktODNiYS00YTYzLWE4NDAtYTgwOGFhYjc4ZGQ4XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg"
b3,3. The Fantastic Four: First Steps,2025,N/A,N/A,"Marvel's First Family face their most daunting challenge yet. Forced to balance their roles as heroes with the strength of their family bond, they must defend Earth from a ravenous space god called Galactus and his herald, Silver Surfer.",https://www.imdb.com/title/tt10676052/?ref_=sr_t_3,"https://m.media-amazon.com/images/M/MV5BOGI1YmY2OGMtYTZkYi00ZTI2LWEwZjUtNzVmY2Q2MjA1MGFkXkEyXkFqcGc@._V1_QL75_UX140_CR0,21,140,207_.jpg"
b4,4. Jurassic World Rebirth,2025,N/A,N/A,"Five years post-Jurassic World Dominion, an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.",https://www.imdb.com/title/tt31036941/?ref_=sr_t_4,"https://m.media-amazon.com/images/M/MV5BYjlmODRkM2YtMDAxOS00ZTA5LTgyYWYtZWI2NjRjMzRkODU0XkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg"
b5,5. The Recruit,2022–,7.4,TV Series,"Owen Hendricks, a CIA lawyer becomes involved in massive international conflicts with dangerous parties after an asset tries to expose her relationship to the agency.",https://www.imdb.com/title/tt16030542/?ref_=sr_t_5,"https://m.media-amazon.com/images/M/MV5BOTgyOGQ3ZTEtMGQ0Ni00YjI1LTgxYjItOTJjMjhiZWE1YWZkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
b6,6. Invincible,2021–,8.6,TV Series,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,https://www.imdb.com/title/tt6741278/?ref_=sr_t_6,"https://m.media-amazon.com/images/M/MV5BZjE4ZDU4ZjMtZjliYS00M2ZmLThkNTItN2U3MmJjOGU0NmIxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
b7,7. American Primeval,2025,8.1,TV Mini Series,"It follows the gritty and adventurous exploration of the birth of the American West, the violent collisions of cults, religion, and men and women fighting for control of the new world.",https://www.imdb.com/title/tt24069848/?ref_=sr_t_7,"https://m.media-amazon.com/images/M/MV5BZDQ5ZDVkOWUtZTM2NC00MDcxLTgzY2ItNmJkOGVkMTRmZmQxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
b8,8. Squid Game,2021–2025,8.0,TV Series,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes: a survival game that has a whopping 45.6 billion-won prize at stake.",https://www.imdb.com/title/tt10919420/?ref_=sr_t_8,"https://m.media-amazon.com/images/M/MV5BMTg5NjY0NGEtMDFhOS00MzJiLTg1NWEtZDhhNWQ5MmE4ZWIxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
b9,9. Game of Thrones,2011–2019,9.2,TV Series,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",https://www.imdb.com/title/tt0944947/?ref_=sr_t_9,"https://m.media-amazon.com/images/M/MV5BMTNhMDJmNmYtNDQ5OS00ODdlLWE0ZDAtZTgyYTIwNDY3OTU3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
b10,10. The Rookie,2018–,8.0,TV Series,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",https://www.imdb.com/title/tt7587890/?ref_=sr_t_10,"https://m.media-amazon.com/images/M/MV5BMzc2MDdkZDUtZjZlYy00MGMyLWJkNzUtMTMxY2FkZjZjYmEyXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg"
b11,11. Gladiator II,2024,6.6,N/A,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",https://www.imdb.com/title/tt9218128/?ref_=sr_t_11,"https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
b12,12. Captain America: Brave New World,2025,6.1,N/A,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan.",https://www.imdb.com/title/tt14513804/?ref_=sr_t_12,"https://m.media-amazon.com/images/M/MV5BNDRjY2E0ZmEtN2QwNi00NTEwLWI3MWItODNkMGYwYWFjNGE0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
